Name,Nationality,Weight,Frequency
Bogado del Juarez,Argentina,1,2
Bogado del Mansilla,Argentina,2,4
Bogado del Rodriguez,Argentina,1,2
Bustos,Argentina,4,18
Bustos Aguirre,Argentina,1,2
Bustos Agüero,Argentina,2,4
Bustos Alvarez,Argentina,2,4
Bustos Benitez,Argentina,1,2
Bustos Benítez,Argentina,1,2
Bustos Bogado,Argentina,2,4
Bustos Cabrera,Argentina,2,3
Bustos Correa,Argentina,1,1
Bustos Diaz,Argentina,1,2
Bustos Escobar,Argentina,1,2
Bustos Fernández,Argentina,2,5
Bustos Ferreyra,Argentina,2,4
Bustos Flores,Argentina,1,2
Bustos Franco,Argentina,1,2
Bustos Giménez,Argentina,2,5
Bustos Gomez,Argentina,2,6
Bustos González,Argentina,2,4
Bustos Gómez,Argentina,1,1
Bustos Ibarra,Argentina,2,4
Bustos Juarez,Argentina,2,3
Bustos Ledesma,Argentina,2,4
Bustos Lescano,Argentina,2,6
Bustos Lucero,Argentina,2,4
Bustos Luna,Argentina,2,4
Bustos Mansilla,Argentina,1,2
Bustos Martinez,Argentina,1,1
Bustos Medina,Argentina,1,2
Bustos Ortiz,Argentina,1,1
Bustos Paz,Argentina,2,5
Bustos Pereyra,Argentina,2,5
Bustos Ponce,Argentina,1,1
Bustos Pérez,Argentina,2,3
Bustos Quiroga,Argentina,1,2
Bustos Ramos,Argentina,1,2
Bustos Ramírez,Argentina,1,2
Bustos Rodríguez,Argentina,1,2
Bustos Rojas,Argentina,1,2
Bustos Romero,Argentina,2,4
Bustos Ruiz,Argentina,2,3
Bustos Silva,Argentina,2,5
Bustos Suarez,Argentina,2,4
Bustos Vega,Argentina,1,2
Bustos Villalba,Argentina,1,2
Bustos de Alvarez,Argentina,2,4
Bustos de Escobar,Argentina,1,1
Bustos de Ramos,Argentina,2,3
Bustos de Ruiz,Argentina,1,1
Bustos de Silva,Argentina,2,5
Bustos de Suarez,Argentina,1,2
Bustos de la Luna,Argentina,2,5
Bustos de la Pérez,Argentina,1,2
Bustos del González,Argentina,1,2
Bustos Álvarez,Argentina,2,3
Cabrera,Argentina,6,36
Campos,Argentina,6,36
Carrizo,Argentina,6,31
Carrizo Aguero,Argentina,1,2
Carrizo Aguirre,Argentina,2,5
Carrizo Alvarez,Argentina,1,2
Carrizo Arias,Argentina,2,3
Carrizo Bogado,Argentina,1,2
Carrizo Dominguez,Argentina,1,2
Carrizo Domínguez,Argentina,2,3
Carrizo Díaz,Argentina,2,4
Carrizo Fernández,Argentina,1,2
Carrizo Franco,Argentina,2,4
Carrizo Gimenez,Argentina,1,1
Carrizo Giménez,Argentina,2,4
Carrizo Gonzalez,Argentina,1,1
Carrizo Gómez,Argentina,2,3
Carrizo Herrera,Argentina,2,3
Carrizo Ibarra,Argentina,2,3
Carrizo Lopez,Argentina,2,5
Carrizo Lucero,Argentina,2,4
Carrizo Luna,Argentina,1,2
Carrizo Maidana,Argentina,1,2
Carrizo Mansilla,Argentina,2,5
Carrizo Medina,Argentina,2,5
Carrizo Mendoza,Argentina,2,3
Carrizo Molina,Argentina,2,5
Carrizo Morales,Argentina,1,2
Carrizo Navarro,Argentina,1,2
Carrizo Nunez,Argentina,2,4
Carrizo Ojeda,Argentina,1,2
Carrizo Pereyra,Argentina,2,4
Carrizo Quiroga,Argentina,2,4
Carrizo Ramirez,Argentina,2,4
Carrizo Ramos,Argentina,2,5
Carrizo Ramírez,Argentina,1,2
Carrizo Rodriguez,Argentina,2,4
Carrizo Rodríguez,Argentina,2,5
Carrizo Rojas,Argentina,1,2
Carrizo Ruiz,Argentina,2,3
Carrizo Silva,Argentina,2,6
Carrizo Sosa,Argentina,2,5
Carrizo Suárez,Argentina,1,2
Carrizo Sánchez,Argentina,1,2
Carrizo Vega,Argentina,1,2
Carrizo Villalba,Argentina,2,3
Carrizo de Gonzalez,Argentina,1,2
Carrizo de Herrera,Argentina,2,4
Carrizo de Mansilla,Argentina,2,3
Carrizo de Nunez,Argentina,2,4
Carrizo de Rojas,Argentina,1,1
Carrizo de la Dominguez,Argentina,2,3
Carrizo de la Navarro,Argentina,1,1
Carrizo del Medina,Argentina,1,2
Carrizo del Sosa,Argentina,2,3
Carrizo Álvarez,Argentina,1,2
Castro,Argentina,5,25
Correa,Argentina,5,23
Diaz,Argentina,5,29
Diaz Acosta,Argentina,2,3
Diaz Aguero,Argentina,2,3
Diaz Agüero,Argentina,2,5
Diaz Alvarez,Argentina,1,2
Diaz Benítez,Argentina,1,1
Diaz Bustos,Argentina,2,3
Diaz Cabrera,Argentina,2,3
Diaz Carrizo,Argentina,2,3
Diaz Dominguez,Argentina,2,3
Diaz Domínguez,Argentina,2,5
Diaz Fernández,Argentina,1,1
Diaz Flores,Argentina,3,7
Diaz Franco,Argentina,1,2
Diaz Gimenez,Argentina,2,4
Diaz González,Argentina,2,4
Diaz Herrera,Argentina,2,3
Diaz Juárez,Argentina,2,3
Diaz Ledesma,Argentina,1,2
Diaz Lescano,Argentina,1,2
Diaz Lopez,Argentina,2,3
Diaz López,Argentina,1,2
Diaz Mansilla,Argentina,2,5
Diaz Martinez,Argentina,1,2
Diaz Martínez,Argentina,2,3
Diaz Mendoza,Argentina,3,7
Diaz Molina,Argentina,2,6
Diaz Morales,Argentina,1,1
Diaz Nunez,Argentina,2,4
Diaz Núñez,Argentina,1,2
Diaz Ortiz,Argentina,1,2
Diaz Pérez,Argentina,1,1
Diaz Quiroga,Argentina,2,3
Diaz Rodriguez,Argentina,1,1
Diaz Rodríguez,Argentina,2,3
Diaz Rojas,Argentina,2,4
Diaz Ruiz,Argentina,1,1
Diaz Sosa,Argentina,2,3
Diaz Suárez,Argentina,1,2
Diaz Sánchez,Argentina,1,2
Diaz Torres,Argentina,1,2
Diaz Vega,Argentina,2,4
Diaz Villalba,Argentina,1,2
Diaz Villanueva,Argentina,1,1
Diaz de Mansilla,Argentina,2,4
Diaz de Núñez,Argentina,2,4
Diaz de Ortiz,Argentina,2,5
Diaz de Vega,Argentina,2,4
Diaz de la Agüero,Argentina,2,3
Diaz de la Benítez,Argentina,1,2
Diaz de la Domínguez,Argentina,1,1
Diaz de la Franco,Argentina,1,1
Diaz de la Morales,Argentina,2,4
Diaz del Fernández,Argentina,2,3
Diaz del Nunez,Argentina,1,1
Diaz del Villalba,Argentina,1,2
Diaz Álvarez,Argentina,2,3
Dominguez,Argentina,5,24
Domínguez,Argentina,5,30
Domínguez Aguero,Argentina,1,2
Domínguez Alvarez,Argentina,1,2
Domínguez Benitez,Argentina,2,4
Domínguez Benítez,Argentina,2,5
Domínguez Bustos,Argentina,2,5
Domínguez Cabrera,Argentina,2,4
Domínguez Campos,Argentina,1,1
Domínguez Carrizo,Argentina,2,3
Domínguez Dominguez,Argentina,1,2
Domínguez Díaz,Argentina,1,2
Domínguez Fernandez,Argentina,2,3
Domínguez Fernández,Argentina,1,1
Domínguez Gimenez,Argentina,2,5
Domínguez Godoy,Argentina,2,4
Domínguez González,Argentina,2,5
Domínguez Herrera,Argentina,1,2
Domínguez Juarez,Argentina,1,2
Domínguez Juárez,Argentina,2,5
Domínguez Ledesma,Argentina,1,1
Domínguez Lopez,Argentina,2,3
Domínguez Lucero,Argentina,2,4
Domínguez Luna,Argentina,1,2
Domínguez López,Argentina,2,4
Domínguez Martinez,Argentina,2,3
Domínguez Martínez,Argentina,1,1
Domínguez Medina,Argentina,1,1
Domínguez Mendoza,Argentina,1,1
Domínguez Molina,Argentina,1,2
Domínguez Morales,Argentina,1,1
Domínguez Navarro,Argentina,2,3
Domínguez Núñez,Argentina,2,5
Domínguez Peralta,Argentina,1,2
Domínguez Perez,Argentina,1,2
Domínguez Ponce,Argentina,1,2
Domínguez Quiroga,Argentina,1,2
Domínguez Ramirez,Argentina,2,3
Domínguez Rodriguez,Argentina,2,4
Domínguez Romero,Argentina,1,2
Domínguez Silva,Argentina,2,3
Domínguez Torres,Argentina,2,5
Domínguez Vega,Argentina,1,1
Domínguez Villalba,Argentina,1,2
Domínguez Villanueva,Argentina,2,5
Domínguez de Campos,Argentina,2,3
Domínguez de Peralta,Argentina,2,3
Domínguez de Quiroga,Argentina,1,1
Domínguez de Silva,Argentina,2,6
Domínguez de la Alvarez,Argentina,1,2
Domínguez de la Benitez,Argentina,1,1
Domínguez de la González,Argentina,1,2
Domínguez de la Medina,Argentina,2,5
Domínguez del Díaz,Argentina,1,1
Domínguez del López,Argentina,2,3
Domínguez del Martínez,Argentina,2,6
Domínguez del Mendoza,Argentina,1,1
Domínguez del Núñez,Argentina,1,2
Domínguez Álvarez,Argentina,1,1
Díaz,Argentina,5,23
Díaz Aguero,Argentina,1,2
Díaz Alvarez,Argentina,1,1
Díaz Arias,Argentina,1,1
Díaz Benitez,Argentina,1,1
Díaz Benítez,Argentina,1,1
Díaz Bogado,Argentina,2,5
Díaz Bustos,Argentina,1,2
Díaz Castro,Argentina,2,6
Díaz Domínguez,Argentina,2,3
Díaz Fernandez,Argentina,2,5
Díaz Fernández,Argentina,2,4
Díaz Franco,Argentina,2,3
Díaz Gimenez,Argentina,1,1
Díaz Giménez,Argentina,2,3
Díaz Godoy,Argentina,1,2
Díaz Gonzalez,Argentina,1,2
Díaz González,Argentina,2,3
Díaz Herrera,Argentina,1,2
Díaz Juarez,Argentina,2,3
Díaz Ledesma,Argentina,3,7
Díaz Lopez,Argentina,1,2
Díaz Lucero,Argentina,1,2
Díaz Luna,Argentina,1,1
Díaz López,Argentina,1,2
Díaz Martinez,Argentina,2,5
Díaz Martínez,Argentina,2,3
Díaz Medina,Argentina,1,1
Díaz Navarro,Argentina,2,3
Díaz Nunez,Argentina,1,2
Díaz Núñez,Argentina,1,1
Díaz Paz,Argentina,2,3
Díaz Pereyra,Argentina,1,1
Díaz Quiroga,Argentina,1,2
Díaz Ramirez,Argentina,1,2
Díaz Ramírez,Argentina,1,2
Díaz Rodríguez,Argentina,3,7
Díaz Rojas,Argentina,2,4
Díaz Romero,Argentina,2,4
Díaz Silva,Argentina,1,2
Díaz Suarez,Argentina,2,3
Díaz Suárez,Argentina,1,1
Díaz Sánchez,Argentina,1,2
Díaz Torres,Argentina,1,2
Díaz Vega,Argentina,1,2
Díaz de Alvarez,Argentina,2,4
Díaz de Arias,Argentina,2,5
Díaz de Herrera,Argentina,1,2
Díaz de Ledesma,Argentina,2,5
Díaz de Martínez,Argentina,1,1
Díaz de Ramirez,Argentina,2,3
Díaz de la Franco,Argentina,2,5
Díaz de la Gimenez,Argentina,2,3
Díaz de la Quiroga,Argentina,2,3
Díaz del Aguero,Argentina,1,2
Díaz del Domínguez,Argentina,2,3
Díaz del Pereyra,Argentina,2,3
Escobar,Argentina,6,35
Fernandez,Argentina,8,65
Fernandez Aguirre,Argentina,2,4
Fernandez Alvarez,Argentina,2,5
Fernandez Benitez,Argentina,2,4
Fernandez Benítez,Argentina,2,5
Fernandez Bogado,Argentina,1,1
Fernandez Bustos,Argentina,1,2
Fernandez Cabrera,Argentina,1,1
Fernandez Campos,Argentina,2,4
Fernandez Castro,Argentina,1,2
Fernandez Díaz,Argentina,2,6
Fernandez Escobar,Argentina,1,2
Fernandez Fernández,Argentina,2,3
Fernandez Flores,Argentina,2,3
Fernandez Franco,Argentina,2,3
Fernandez Gonzalez,Argentina,1,2
Fernandez Herrera,Argentina,1,1
Fernandez Ibarra,Argentina,1,2
Fernandez Juarez,Argentina,1,2
Fernandez Juárez,Argentina,1,2
Fernandez Lescano,Argentina,1,2
Fernandez López,Argentina,1,2
Fernandez Martinez,Argentina,2,5
Fernandez Mendoza,Argentina,1,2
Fernandez Molina,Argentina,2,3
Fernandez Navarro,Argentina,2,3
Fernandez Nunez,Argentina,2,3
Fernandez Núñez,Argentina,1,1
Fernandez Ojeda,Argentina,1,1
Fernandez Paz,Argentina,1,2
Fernandez Peralta,Argentina,2,3
Fernandez Pereyra,Argentina,1,1
Fernandez Pérez,Argentina,2,3
Fernandez Quiroga,Argentina,1,1
Fernandez Ramirez,Argentina,2,3
Fernandez Ramos,Argentina,2,4
Fernandez Rodriguez,Argentina,1,2
Fernandez Rojas,Argentina,2,4
Fernandez Romero,Argentina,2,5
Fernandez Silva,Argentina,1,2
Fernandez Sosa,Argentina,1,2
Fernandez Suárez,Argentina,1,2
Fernandez Sánchez,Argentina,1,1
Fernandez Vega,Argentina,2,3
Fernandez Villanueva,Argentina,1,2
Fernandez de Franco,Argentina,2,3
Fernandez de Ibarra,Argentina,1,1
Fernandez de Pérez,Argentina,1,2
Fernandez de la Alvarez,Argentina,2,3
Fernandez de la Martinez,Argentina,1,2
Fernandez de la Nunez,Argentina,1,2
Fernandez de la Pereyra,Argentina,2,3
Fernandez del Castro,Argentina,2,3
Fernandez del López,Argentina,2,3
Fernandez del Paz,Argentina,1,1
Fernandez del Silva,Argentina,2,3
Fernández,Argentina,9,80
Ferreyra,Argentina,6,36
Flores,Argentina,6,37
Flores Acosta,Argentina,2,3
Flores Agüero,Argentina,2,3
Flores Arias,Argentina,1,2
Flores Benítez,Argentina,1,2
Flores Bustos,Argentina,3,7
Flores Cabrera,Argentina,1,1
Flores Campos,Argentina,1,2
Flores Carrizo,Argentina,1,2
Flores Castro,Argentina,1,2
Flores Dominguez,Argentina,1,2
Flores Domínguez,Argentina,1,2
Flores Fernandez,Argentina,2,3
Flores Fernández,Argentina,2,4
Flores Ferreyra,Argentina,2,3
Flores Franco,Argentina,2,3
Flores Gimenez,Argentina,2,3
Flores Giménez,Argentina,2,3
Flores Gonzalez,Argentina,1,2
Flores González,Argentina,2,5
Flores Herrera,Argentina,1,2
Flores Ibarra,Argentina,2,3
Flores Ledesma,Argentina,1,2
Flores Lucero,Argentina,1,1
Flores Luna,Argentina,1,2
Flores López,Argentina,1,1
Flores Mansilla,Argentina,2,6
Flores Martínez,Argentina,2,3
Flores Medina,Argentina,1,2
Flores Mendoza,Argentina,2,4
Flores Morales,Argentina,1,2
Flores Navarro,Argentina,2,4
Flores Ponce,Argentina,2,3
Flores Pérez,Argentina,2,4
Flores Ramirez,Argentina,2,3
Flores Rodriguez,Argentina,2,3
Flores Rodríguez,Argentina,1,1
Flores Romero,Argentina,2,3
Flores Ruiz,Argentina,2,5
Flores Silva,Argentina,2,4
Flores Sosa,Argentina,2,3
Flores Suarez,Argentina,1,2
Flores Suárez,Argentina,2,3
Flores Vega,Argentina,1,1
Flores Villalba,Argentina,2,4
Flores de Benítez,Argentina,2,3
Flores de Domínguez,Argentina,2,4
Flores de Navarro,Argentina,1,2
Flores de Suárez,Argentina,2,3
Flores de la Ferreyra,Argentina,1,2
Flores de la González,Argentina,2,3
Flores de la López,Argentina,1,1
Flores de la Mansilla,Argentina,1,1
Flores de la Ponce,Argentina,2,3
Flores del Agüero,Argentina,2,5
Flores del Campos,Argentina,1,2
Flores del Fernández,Argentina,2,4
Flores del Ledesma,Argentina,2,4
Flores Álvarez,Argentina,1,2
Franco,Argentina,4,20
Franco Agüero,Argentina,1,1
Franco Arias,Argentina,2,3
Franco Bustos,Argentina,1,2
Franco Cabrera,Argentina,1,2
Franco Campos,Argentina,1,2
Franco Carrizo,Argentina,2,4
Franco Castro,Argentina,2,3
Franco Correa,Argentina,2,3
Franco Diaz,Argentina,2,6
Franco Domínguez,Argentina,2,4
Franco Fernández,Argentina,2,3
Franco Ferreyra,Argentina,2,3
Franco Gimenez,Argentina,1,2
Franco Gomez,Argentina,1,2
Franco Gonzalez,Argentina,1,1
Franco González,Argentina,2,3
Franco Gómez,Argentina,1,1
Franco Herrera,Argentina,2,5
Franco Ibarra,Argentina,2,5
Franco Juárez,Argentina,2,3
Franco Lescano,Argentina,2,6
Franco Luna,Argentina,2,4
Franco López,Argentina,1,2
Franco Maidana,Argentina,1,2
Franco Mansilla,Argentina,2,3
Franco Martínez,Argentina,2,4
Franco Mendoza,Argentina,1,1
Franco Molina,Argentina,1,1
Franco Morales,Argentina,2,4
Franco Navarro,Argentina,2,5
Franco Núñez,Argentina,3,8
Franco Peralta,Argentina,2,5
Franco Ponce,Argentina,2,4
Franco Pérez,Argentina,2,3
Franco Quiroga,Argentina,1,1
Franco Ramirez,Argentina,1,2
Franco Ramos,Argentina,2,3
Franco Ramírez,Argentina,2,4
Franco Rojas,Argentina,1,1
Franco Romero,Argentina,1,2
Franco Silva,Argentina,2,4
Franco Sosa,Argentina,2,3
Franco Villalba,Argentina,2,4
Franco de Campos,Argentina,2,3
Franco de Ramirez,Argentina,2,5
Franco de la Arias,Argentina,1,2
Franco de la Bustos,Argentina,1,2
Franco de la Domínguez,Argentina,2,5
Franco de la Juárez,Argentina,1,2
Franco de la Mansilla,Argentina,2,4
Franco de Álvarez,Argentina,1,2
Franco del Castro,Argentina,1,1
Franco del Gomez,Argentina,2,4
Franco del Martínez,Argentina,1,2
Franco del Molina,Argentina,2,4
Franco del Quiroga,Argentina,2,4
Franco Álvarez,Argentina,1,2
Gimenez,Argentina,6,38
Gimenez Acosta,Argentina,1,2
Gimenez Aguero,Argentina,2,6
Gimenez Agüero,Argentina,2,4
Gimenez Bogado,Argentina,2,4
Gimenez Bustos,Argentina,2,5
Gimenez Cabrera,Argentina,1,1
Gimenez Campos,Argentina,2,3
Gimenez Domínguez,Argentina,1,1
Gimenez Díaz,Argentina,1,2
Gimenez Fernandez,Argentina,2,4
Gimenez Fernández,Argentina,1,2
