Name,Nationality,Weight,Frequency
Angel Martín,Argentina,2,6
Angel Matias,Argentina,2,5
Angel Matías,Argentina,2,4
Angel Máximo,Argentina,1,1
Angel Nahuel,Argentina,2,5
Angel Nicolás,Argentina,3,7
Angel Pablo,Argentina,2,4
Angel Ramiro,Argentina,2,6
Angel Ricardo,Argentina,2,3
Angel Santiago,Argentina,1,1
Angel Simon,Argentina,1,2
Angel Tobias,Argentina,2,5
Angel Tomi,Argentina,3,9
Angel Tomás,Argentina,2,3
Angel Valentín,Argentina,3,7
Angel Ángel,Argentina,1,1
Angey,Argentina,1,2
Bau,Argentina,2,5
Baut,Argentina,3,9
Bauti,Argentina,2,6
Bautista,Argentina,7,49
Bautito,Argentina,3,8
Ben,Argentina,1,2
Benj,Argentina,3,8
Benjamin,Argentina,7,46
Benjamín,Argentina,7,46
Benjamín Adam,Argentina,2,3
Benjamín Agustin,Argentina,2,3
Benjamín Agustín,Argentina,2,3
Benjamín Alan,Argentina,2,5
Benjamín Bautista,Argentina,1,2
Benjamín Damian,Argentina,2,5
Benjamín Daniel,Argentina,2,4
Benjamín Facundo,Argentina,1,2
Benjamín Federico,Argentina,2,6
Benjamín Franco,Argentina,3,8
Benjamín Guido,Argentina,1,2
Benjamín Ignacio,Argentina,2,6
Benjamín Ivan,Argentina,2,4
Benjamín Joaquin,Argentina,2,4
Benjamín Joaquín,Argentina,2,4
Benjamín Juan,Argentina,1,2
Benjamín Julian,Argentina,1,2
Benjamín Lautaro,Argentina,2,4
Benjamín Martin,Argentina,2,5
Benjamín Martín,Argentina,2,4
Benjamín Mateo,Argentina,2,5
Benjamín Maximo,Argentina,2,4
Benjamín Máximo,Argentina,2,5
Benjamín Nacho,Argentina,1,2
Benjamín Nahuel,Argentina,2,3
Benjamín Nicolas,Argentina,2,4
Benjamín Nicolás,Argentina,2,6
Benjamín Rodrigo,Argentina,2,6
Benjamín Samuel,Argentina,2,5
Benjamín Sergio,Argentina,2,4
Benjamín Tobías,Argentina,3,8
Benjamín Tomas,Argentina,2,3
Benjamín Valentin,Argentina,2,6
Benjamín Valentín,Argentina,3,7
Benji,Argentina,2,5
Benjie,Argentina,2,3
Benjito,Argentina,2,4
Benjy,Argentina,2,5
Bru,Argentina,2,4
Brun,Argentina,3,9
Bruni,Argentina,2,5
Brunito,Argentina,2,4
Bruno,Argentina,7,48
Bruno Adrian,Argentina,3,8
Bruno Adrián,Argentina,1,1
Bruno Agustín,Argentina,1,2
Bruno Bautista,Argentina,1,2
Bruno Benjamín,Argentina,2,5
Bruno Damian,Argentina,2,5
Bruno Daniel,Argentina,2,6
Bruno David,Argentina,2,3
Bruno Emiliano,Argentina,3,7
Bruno Fede,Argentina,1,1
Bruno Federico,Argentina,2,6
Bruno Gabriel,Argentina,3,7
Bruno Guido,Argentina,1,1
Bruno Joaquín,Argentina,2,6
Bruno Julian,Argentina,2,5
Bruno Julián,Argentina,1,2
Bruno Luciano,Argentina,2,4
Bruno Mariano,Argentina,2,3
Bruno Martín,Argentina,2,6
Bruno Matias,Argentina,1,2
Bruno Mauro,Argentina,2,5
Bruno Máximo,Argentina,2,6
Bruno Nacho,Argentina,3,9
Bruno Nicolas,Argentina,2,4
Bruno Oscar,Argentina,2,3
Bruno Pablo,Argentina,3,7
Bruno Rodrigo,Argentina,3,7
Bruno Simon,Argentina,1,1
Bruno Simón,Argentina,2,4
Bruno Thiago,Argentina,2,3
Bruno Tobias,Argentina,2,4
Bruno Tomas,Argentina,2,4
Bruno Tomi,Argentina,1,2
Bruno Valentín,Argentina,2,6
Cri,Argentina,3,7
Cris,Argentina,3,7
Crisi,Argentina,2,5
Crisie,Argentina,3,10
Crisito,Argentina,2,6
Cristian,Argentina,8,60
Crisy,Argentina,2,4
Dam,Argentina,3,12
Dami,Argentina,2,6
Damian,Argentina,6,32
Damian Agustin,Argentina,1,2
Damian Angel,Argentina,2,5
Damian Benjamín,Argentina,2,4
Damian Cristian,Argentina,2,5
Damian Damián,Argentina,3,7
Damian Gabriel,Argentina,2,4
Damian Gonzalo,Argentina,1,2
Damian Guido,Argentina,2,5
Damian Ignacio,Argentina,2,3
Damian Ivan,Argentina,2,5
Damian Joaquin,Argentina,2,5
Damian Julián,Argentina,2,4
Damian Kevin,Argentina,2,5
Damian Lautaro,Argentina,3,10
Damian Lauti,Argentina,2,4
Damian Lisandro,Argentina,1,2
Damian Lucas,Argentina,2,5
Damian Luciano,Argentina,2,4
Damian Martin,Argentina,1,1
Damian Martín,Argentina,2,3
Damian Matias,Argentina,2,4
Damian Matías,Argentina,1,1
Damian Maximo,Argentina,1,2
Damian Máximo,Argentina,2,6
Damian Nacho,Argentina,2,3
Damian Nahuel,Argentina,2,4
Damian Nicolas,Argentina,2,6
Damian Oscar,Argentina,1,2
Damian Ricardo,Argentina,2,5
Damian Rodrigo,Argentina,2,4
Damian Simon,Argentina,2,4
Damian Thiago,Argentina,2,3
Damian Tobias,Argentina,1,1
Damian Tomi,Argentina,2,4
Damian Valentin,Argentina,2,3
Damii,Argentina,2,5
Damiie,Argentina,3,7
Damiito,Argentina,3,7
Damiy,Argentina,2,4
Damián,Argentina,7,52
Dan,Argentina,3,9
Dani,Argentina,3,7
Daniel,Argentina,7,45
Danii,Argentina,2,4
Daniie,Argentina,3,10
Daniito,Argentina,3,9
Daniy,Argentina,2,3
Dav,Argentina,3,10
Davi,Argentina,2,5
David,Argentina,6,38
David Adrián,Argentina,2,6
David Agustín,Argentina,1,2
David Bautista,Argentina,2,5
David Benjamin,Argentina,3,7
David Benjamín,Argentina,2,4
David Fede,Argentina,2,3
David Gabriel,Argentina,2,4
David Ignacio,Argentina,1,2
David Ivan,Argentina,1,2
David Iván,Argentina,3,8
David Julián,Argentina,2,6
David Lautaro,Argentina,2,5
David Leandro,Argentina,2,3
David Lionel,Argentina,3,7
David Lucho,Argentina,2,6
David Luciano,Argentina,2,4
David Martín,Argentina,2,4
David Matias,Argentina,2,3
David Matías,Argentina,2,5
David Mauro,Argentina,2,5
David Maximo,Argentina,1,2
David Nicolas,Argentina,2,5
David Nicolás,Argentina,3,9
David Pablo,Argentina,2,5
David Ramiro,Argentina,3,7
David Ricardo,Argentina,1,1
David Santiago,Argentina,1,2
David Sergio,Argentina,3,7
David Thiago,Argentina,2,3
David Tomas,Argentina,2,3
David Tomi,Argentina,2,3
David Tomás,Argentina,2,4
David Valentín,Argentina,2,4
David Ángel,Argentina,2,6
Davii,Argentina,3,9
Daviie,Argentina,3,8
Daviito,Argentina,2,3
Daviy,Argentina,2,6
Die,Argentina,1,2
Dieg,Argentina,2,6
Diegi,Argentina,2,6
Diegito,Argentina,3,9
Diego,Argentina,7,48
Diego Adam,Argentina,2,4
Diego Adrián,Argentina,3,7
Diego Agustín,Argentina,2,4
Diego Alan,Argentina,2,6
Diego Angel,Argentina,2,3
Diego Bautista,Argentina,2,6
Diego Cristian,Argentina,1,2
Diego David,Argentina,1,2
Diego Enzo,Argentina,1,2
Diego Facundo,Argentina,1,2
Diego Fede,Argentina,2,4
Diego Federico,Argentina,2,3
Diego Franco,Argentina,2,6
Diego Gabriel,Argentina,2,6
Diego Guido,Argentina,2,6
Diego Ignacio,Argentina,2,3
Diego Ivan,Argentina,1,2
Diego Joaquín,Argentina,1,2
Diego Kevin,Argentina,3,7
Diego Lautaro,Argentina,2,4
Diego Leandro,Argentina,2,3
Diego Lisandro,Argentina,2,3
Diego Lucas,Argentina,2,3
Diego Martín,Argentina,2,5
Diego Matias,Argentina,2,4
Diego Pablo,Argentina,3,7
Diego Rodrigo,Argentina,3,8
Diego Samuel,Argentina,2,3
Diego Simón,Argentina,2,3
Diego Thiago,Argentina,2,3
Diego Tobías,Argentina,2,4
Diego Tomas,Argentina,2,4
Diego Tomi,Argentina,1,2
Diego Valentin,Argentina,1,1
Diego Valentín,Argentina,3,11
Emi,Argentina,2,5
Emil,Argentina,3,7
Emili,Argentina,3,7
Emiliano,Argentina,6,41
Emilito,Argentina,3,8
Enz,Argentina,2,4
Enzo,Argentina,6,37
Enzoi,Argentina,3,9
Enzoito,Argentina,3,9
Eze,Argentina,3,7
Ezeq,Argentina,3,7
Ezeqi,Argentina,3,7
Ezeqie,Argentina,2,5
Ezeqito,Argentina,2,4
Ezequiel,Argentina,6,40
Ezequiel Adam,Argentina,1,2
Ezequiel Adrián,Argentina,2,4
Ezequiel Agustin,Argentina,2,3
Ezequiel Agustín,Argentina,2,6
Ezequiel Bautista,Argentina,3,7
Ezequiel Benjamín,Argentina,2,6
Ezequiel Bruno,Argentina,2,3
Ezequiel Cristian,Argentina,2,3
Ezequiel Damian,Argentina,2,3
Ezequiel Damián,Argentina,2,6
Ezequiel Daniel,Argentina,2,4
Ezequiel Diego,Argentina,2,6
Ezequiel Enzo,Argentina,3,8
Ezequiel Federico,Argentina,2,4
Ezequiel Guido,Argentina,2,4
Ezequiel Joaquin,Argentina,1,1
Ezequiel Joaquín,Argentina,3,8
Ezequiel Kevin,Argentina,1,2
Ezequiel Lauti,Argentina,2,4
Ezequiel Lionel,Argentina,1,2
Ezequiel Lisandro,Argentina,2,3
Ezequiel Martin,Argentina,2,3
Ezequiel Matías,Argentina,2,4
Ezequiel Mauro,Argentina,2,4
Ezequiel Maximo,Argentina,2,6
Ezequiel Nahuel,Argentina,2,5
Ezequiel Nicolas,Argentina,1,2
Ezequiel Oscar,Argentina,2,3
Ezequiel Simon,Argentina,3,9
Ezequiel Tobias,Argentina,2,3
Ezequiel Tobías,Argentina,2,6
Ezequiel Tomas,Argentina,2,4
Ezequiel Tomás,Argentina,1,2
Ezequiel Valentin,Argentina,1,1
Ezeqy,Argentina,3,7
Fac,Argentina,1,2
Facu,Argentina,2,6
Facui,Argentina,2,4
Facuito,Argentina,3,7
Facundo,Argentina,6,39
Fed,Argentina,2,6
Fede,Argentina,7,47
Fede Adrian,Argentina,2,3
Fede Agustin,Argentina,2,3
Fede Angel,Argentina,1,2
Fede Cristian,Argentina,2,4
Fede Damian,Argentina,2,3
Fede Daniel,Argentina,1,2
Fede Emiliano,Argentina,3,7
Fede Ezequiel,Argentina,2,5
Fede Franco,Argentina,2,3
Fede Guido,Argentina,2,3
Fede Iván,Argentina,2,3
Fede Juan,Argentina,1,1
Fede Julian,Argentina,1,2
Fede Julián,Argentina,2,3
Fede Kevin,Argentina,3,10
Fede Leandro,Argentina,1,2
Fede Lionel,Argentina,2,3
Fede Lisandro,Argentina,2,4
Fede Lucas,Argentina,2,3
Fede Mariano,Argentina,2,6
Fede Maximo,Argentina,2,4
Fede Máximo,Argentina,2,6
Fede Nacho,Argentina,2,5
Fede Nico,Argentina,2,3
Fede Nicolás,Argentina,2,5
Fede Ramiro,Argentina,2,3
Fede Samuel,Argentina,2,3
Fede Sergio,Argentina,2,4
Fede Simon,Argentina,2,6
Fede Thiago,Argentina,2,3
Fede Tobías,Argentina,2,3
Fede Tomás,Argentina,2,3
Fede Valentin,Argentina,2,3
Fede Valentín,Argentina,2,4
Fedei,Argentina,2,5
Fedeito,Argentina,2,4
Federico,Argentina,6,36
Federico Adam,Argentina,1,2
Federico Adrián,Argentina,2,4
Federico Agustín,Argentina,2,4
Federico Bautista,Argentina,2,3
Federico Benjamin,Argentina,3,8
Federico Damian,Argentina,2,4
Federico Damián,Argentina,2,3
Federico Daniel,Argentina,3,7
Federico David,Argentina,2,3
Federico Emiliano,Argentina,2,4
Federico Enzo,Argentina,2,3
Federico Ezequiel,Argentina,2,5
Federico Franco,Argentina,2,3
Federico Gabriel,Argentina,3,7
Federico Ignacio,Argentina,2,3
Federico Ivan,Argentina,2,4
Federico Joaquin,Argentina,2,3
Federico Julián,Argentina,1,2
Federico Lauti,Argentina,3,7
Federico Leandro,Argentina,2,3
Federico Lucas,Argentina,3,7
Federico Lucho,Argentina,2,6
Federico Mariano,Argentina,3,7
Federico Martín,Argentina,1,2
Federico Mateo,Argentina,2,5
Federico Máximo,Argentina,2,6
Federico Nacho,Argentina,1,2
Federico Nahuel,Argentina,1,2
Federico Nico,Argentina,2,4
Federico Ramiro,Argentina,2,4
Federico Rodrigo,Argentina,1,2
Federico Sergio,Argentina,2,5
Federico Simon,Argentina,2,6
Federico Simón,Argentina,3,7
Federico Valentín,Argentina,2,3
Fra,Argentina,2,4
Fran,Argentina,3,9
Franco,Argentina,6,39
Frani,Argentina,2,4
Franito,Argentina,3,10
Gab,Argentina,3,8
Gabr,Argentina,1,2
Gabri,Argentina,2,3
Gabrie,Argentina,3,7
Gabriel,Argentina,6,42
Gabriel Alan,Argentina,1,2
Gabriel Benjamin,Argentina,2,5
Gabriel Benjamín,Argentina,3,7
Gabriel Damian,Argentina,2,4
Gabriel Damián,Argentina,1,2
Gabriel Daniel,Argentina,1,2
Gabriel Emiliano,Argentina,2,6
Gabriel Ezequiel,Argentina,2,4
Gabriel Facundo,Argentina,2,4
Gabriel Fede,Argentina,2,3
Gabriel Iván,Argentina,3,8
Gabriel Joaquin,Argentina,3,7
Gabriel Joaquín,Argentina,2,3
Gabriel Kevin,Argentina,3,7
Gabriel Lautaro,Argentina,1,1
Gabriel Lionel,Argentina,2,4
Gabriel Lucas,Argentina,2,3
Gabriel Lucho,Argentina,2,4
Gabriel Luciano,Argentina,2,6
Gabriel Mariano,Argentina,1,2
Gabriel Martin,Argentina,1,2
Gabriel Matias,Argentina,1,2
Gabriel Mauro,Argentina,2,4
Gabriel Maximo,Argentina,1,2
Gabriel Máximo,Argentina,1,2
Gabriel Nahuel,Argentina,2,5
Gabriel Pablo,Argentina,2,5
Gabriel Ramiro,Argentina,2,3
Gabriel Ricardo,Argentina,2,3
Gabriel Rodrigo,Argentina,2,3
Gabriel Santiago,Argentina,1,2
Gabriel Simon,Argentina,1,2
Gabriel Tomi,Argentina,2,6
Gabriel Ángel,Argentina,1,2
Gabrito,Argentina,2,4
Gabry,Argentina,2,4
Gon,Argentina,3,7
Gonz,Argentina,2,3
Gonzalo,Argentina,6,37
Gonzi,Argentina,2,6
Gonzito,Argentina,3,7
Gui,Argentina,2,6
Guid,Argentina,2,3
Guidi,Argentina,3,8
Guidito,Argentina,2,3
Guido,Argentina,6,42
Ign,Argentina,3,12
Igna,Argentina,2,4
Ignacio,Argentina,6,39
Ignai,Argentina,2,4
Ignaito,Argentina,2,5
Iva,Argentina,3,8
Ivan,Argentina,6,41
Ivani,Argentina,2,4
Ivanito,Argentina,1,2
Ivá,Argentina,3,8
Iván,Argentina,7,43
Iván Adam,Argentina,2,3
Iván Adrian,Argentina,2,4
Iván Bautista,Argentina,2,5
Iván Benjamin,Argentina,2,6
Iván Damian,Argentina,1,2
Iván David,Argentina,2,6
Iván Diego,Argentina,3,7
Iván Ezequiel,Argentina,3,7
Iván Federico,Argentina,1,1
Iván Franco,Argentina,1,2
Iván Guido,Argentina,2,3
Iván Ignacio,Argentina,2,6
Iván Ivan,Argentina,2,5
Iván Joaquin,Argentina,2,5
Iván Joaquín,Argentina,2,3
Iván Leandro,Argentina,2,4
Iván Lisandro,Argentina,2,4
Iván Lucas,Argentina,2,3
Iván Lucho,Argentina,2,4
Iván Luciano,Argentina,2,5
Iván Mariano,Argentina,2,4
Iván Martin,Argentina,2,3
Iván Martín,Argentina,1,2
Iván Nahuel,Argentina,1,2
Iván Nico,Argentina,2,6
Iván Pablo,Argentina,1,1
Iván Ramiro,Argentina,2,4
Iván Ricardo,Argentina,3,7
Iván Santiago,Argentina,1,1
Iván Sergio,Argentina,2,3
Iván Tobias,Argentina,2,3
Iván Tomás,Argentina,2,4
Iván Valentin,Argentina,2,4
Iván Valentín,Argentina,2,3
Iváni,Argentina,2,6
Ivánito,Argentina,2,5
Joa,Argentina,2,5
Joaq,Argentina,3,11
Joaqi,Argentina,3,7
Joaqie,Argentina,2,6
Joaqito,Argentina,2,5
Joaquin,Argentina,6,42
Joaquín,Argentina,6,38
Joaqy,Argentina,3,7
Jua,Argentina,3,10
Juan,Argentina,8,58
Juan Adam,Argentina,1,2
Juan Adrián,Argentina,2,6
Juan Angel,Argentina,2,3
Juan Benjamin,Argentina,2,3
Juan Benjamín,Argentina,2,3
Juan Cristian,Argentina,2,3
Juan Cruz,Argentina,5,24
Juan Diego,Argentina,1,1
Juan Enzo,Argentina,2,5
Juan Ezequiel,Argentina,2,5
Juan Facundo,Argentina,2,3
Juan Federico,Argentina,1,2
Juan Franco,Argentina,1,2
Juan Gabriel,Argentina,2,4
Juan Gonzalo,Argentina,2,4
Juan Guido,Argentina,2,5
Juan Kevin,Argentina,1,2
Juan Lauti,Argentina,2,5
Juan Leandro,Argentina,2,3
Juan Lionel,Argentina,3,7
Juan Lucas,Argentina,2,4
Juan Lucho,Argentina,2,3
Juan Luciano,Argentina,2,4
Juan Manuel,Argentina,5,24
Juan Martin,Argentina,1,2
Juan Mateo,Argentina,2,4
Juan Maximo,Argentina,2,4
Juan Máximo,Argentina,1,1
Juan Nicolás,Argentina,2,4
Juan Pablo,Argentina,5,29
Juan Ricardo,Argentina,2,5
Juan Samuel,Argentina,3,7
Juan Santiago,Argentina,2,4
Juan Tomi,Argentina,2,4
Juan Valentin,Argentina,1,1
Juan Valentín,Argentina,2,5
Juan Ángel,Argentina,3,7
Juani,Argentina,3,7
Juanito,Argentina,2,6
Jul,Argentina,2,5
Juli,Argentina,2,6
Julian,Argentina,6,42
Julii,Argentina,3,9
Juliie,Argentina,2,4
Juliito,Argentina,2,5
Juliy,Argentina,2,4
Julián,Argentina,7,43
Kev,Argentina,2,4
Kevi,Argentina,2,4
Kevii,Argentina,3,7
Keviie,Argentina,2,5
Keviito,Argentina,3,10
Kevin,Argentina,6,37
Keviy,Argentina,3,7
Lau,Argentina,3,7
Laut,Argentina,2,5
Lautaro,Argentina,6,40
Lauti,Argentina,6,41
Lauti Adam,Argentina,1,2
Lauti Adrián,Argentina,2,3
Lauti Agustin,Argentina,2,5
Lauti Benjamín,Argentina,2,5
Lauti Bruno,Argentina,3,9
Lauti Damián,Argentina,2,3
Lauti Diego,Argentina,2,6
Lauti Enzo,Argentina,3,7
Lauti Ezequiel,Argentina,1,1
Lauti Facundo,Argentina,2,3
Lauti Fede,Argentina,2,3
Lauti Franco,Argentina,2,3
Lauti Gabriel,Argentina,3,7
Lauti Gonzalo,Argentina,2,5
Lauti Guido,Argentina,2,4
Lauti Ignacio,Argentina,1,1
Lauti Iván,Argentina,2,3
Lauti Julián,Argentina,2,4
Lauti Kevin,Argentina,2,3
Lauti Leandro,Argentina,2,5
Lauti Lionel,Argentina,3,7
Lauti Lisandro,Argentina,2,6
Lauti Lucho,Argentina,1,1
Lauti Mariano,Argentina,1,1
Lauti Matías,Argentina,2,3
Lauti Maximo,Argentina,3,8
Lauti Nicolás,Argentina,2,4
Lauti Oscar,Argentina,2,6
Lauti Samuel,Argentina,2,3
Lauti Santiago,Argentina,2,4
Lauti Simón,Argentina,3,7
Lauti Tomas,Argentina,3,8
Lauti Tomi,Argentina,2,3
Lauti Valentin,Argentina,2,6
Lautito,Argentina,3,12
Lea,Argentina,2,6
Lean,Argentina,3,8
Leandro,Argentina,6,42
Leandro Adrián,Argentina,1,2
Leandro Angel,Argentina,2,3
Leandro Bautista,Argentina,2,6
Leandro Benjamin,Argentina,2,3
Leandro Benjamín,Argentina,1,2
Leandro Damian,Argentina,1,1
Leandro Damián,Argentina,3,8
Leandro Daniel,Argentina,2,4
Leandro David,Argentina,2,6
Leandro Diego,Argentina,2,4
Leandro Facundo,Argentina,2,3
Leandro Fede,Argentina,2,4
Leandro Franco,Argentina,2,4
Leandro Gonzalo,Argentina,1,2
Leandro Joaquin,Argentina,2,5
Leandro Julián,Argentina,1,2
Leandro Lautaro,Argentina,3,7
Leandro Lauti,Argentina,2,3
Leandro Lionel,Argentina,2,3
Leandro Lisandro,Argentina,1,2
Leandro Lucho,Argentina,2,4
Leandro Luciano,Argentina,2,4
Leandro Martin,Argentina,1,2
Leandro Martín,Argentina,2,3
Leandro Matias,Argentina,2,3
Leandro Maximo,Argentina,2,3
Leandro Máximo,Argentina,2,6
Leandro Nahuel,Argentina,1,1
Leandro Nico,Argentina,3,7
Leandro Nicolas,Argentina,2,5
Leandro Oscar,Argentina,2,4
Leandro Santiago,Argentina,1,2
Leandro Sergio,Argentina,2,6
Leandro Simón,Argentina,2,6
Leandro Tomas,Argentina,2,4
Leani,Argentina,2,4
Leanito,Argentina,2,6
Lio,Argentina,2,4
Lion,Argentina,2,5
Lionel,Argentina,6,39
Lioni,Argentina,2,4
Lionie,Argentina,2,4
Lionito,Argentina,2,5
Liony,Argentina,2,6
Lis,Argentina,3,7
Lisa,Argentina,3,7
Lisai,Argentina,2,4
Lisaito,Argentina,2,6
Lisandro,Argentina,6,42
Luc,Argentina,3,10
Luca,Argentina,3,9
Lucai,Argentina,3,7
Lucaie,Argentina,3,9
Lucaito,Argentina,2,6
Lucas,Argentina,7,46
Lucas Adam,Argentina,2,3
Lucas Adrián,Argentina,2,4
Lucas Agustín,Argentina,2,4
Lucas Alan,Argentina,2,6
Lucas Angel,Argentina,2,3
Lucas Benjamín,Argentina,1,1
Lucas Damián,Argentina,1,2
Lucas Daniel,Argentina,3,8
Lucas Enzo,Argentina,2,4
Lucas Federico,Argentina,2,5
Lucas Franco,Argentina,2,3
Lucas Gabriel,Argentina,2,4
Lucas Guido,Argentina,3,7
Lucas Ignacio,Argentina,1,2
Lucas Ivan,Argentina,2,3
Lucas Joaquin,Argentina,2,4
Lucas Joaquín,Argentina,1,2
Lucas Lauti,Argentina,1,2
